trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.42805066795449304}",25,7,2.829312568522835,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.41948965459540316}",20,6,-54.840265836487994,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 1}",1
44,False,"{'a': 0.5, 'e': 0.4110998615034951}",30,2,-82.14123040615907,"{0: 21, 1: 1, 2: 3, 3: 2, 4: 1}",1
45,False,"{'a': 0.5, 'e': 0.4028778642734252}",25,0,-109.62655680124213,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.39482030698795667}",35,3,-82.50302765690572,"{0: 25, 1: 3, 2: 2, 3: 0, 4: 2}",1
47,False,"{'a': 0.5, 'e': 0.38692390084819756}",25,0,12.361133481517237,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.3791854228312336}",30,12,-19.95464649644883,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.37160171437460887}",20,10,19.484729341651565,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.3641696800871167}",20,9,-7.431707021771979,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.35688628648537435}",25,14,10.256018578001378,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.34974856075566685}",20,0,-125.4883884829605,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
53,False,"{'a': 0.5, 'e': 0.3427535895405535}",30,0,-65.45152067179079,"{0: 25, 1: 2, 2: 1, 3: 0, 4: 2}",1
54,False,"{'a': 0.5, 'e': 0.33589851774974244}",20,0,-0.10735263211073409,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.3291805473947476}",25,0,-72.94654432214386,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.32259693644685267}",20,6,-42.831666421024494,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
57,False,"{'a': 0.5, 'e': 0.3161449977179156}",30,0,-12.770684116104771,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.3098220977635573}",20,0,-26.644035271485976,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.30362565580828615}",25,0,9.075339960462564,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.2975531426921204}",20,7,-33.363941645559095,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
61,False,"{'a': 0.5, 'e': 0.291602079838278}",25,14,13.471726200002868,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.2857700382415124}",35,0,-80.02828568729466,"{0: 27, 1: 1, 2: 5, 3: 1, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.2800546374766822}",30,18,12.884897441263307,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.27445354472714856}",20,6,-7.030985435323893,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.2689644738326056}",25,11,-30.616584573387502,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
66,False,"{'a': 0.5, 'e': 0.26358518435595346}",30,22,12.4722827377008,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.25831348066883436}",20,0,12.393354621155511,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.2531472110554577}",25,4,-49.15955413214906,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 2}",1
69,False,"{'a': 0.5, 'e': 0.24808426683434853}",30,17,-32.63895403520513,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
70,False,"{'a': 0.5, 'e': 0.24312258149766156}",20,3,-0.40621514816338244,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.2382601298677083}",20,0,-29.04898392759569,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.23349492727035415}",20,5,-30.819700872744825,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 1}",1
73,False,"{'a': 0.5, 'e': 0.22882502872494706}",25,0,-47.05364712331359,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.22424852815044813}",30,0,-27.16530034334008,"{0: 26, 1: 0, 2: 2, 3: 2, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.21976355758743915}",30,23,15.287607775636623,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.21536828643569036}",20,0,12.54407521855426,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.21106092070697655}",20,11,14.618382713296876,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.20683970229283702}",30,5,17.106263807358445,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.20270290824698028}",30,12,-15.02360081987253,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
80,False,"{'a': 0.5, 'e': 0.19864885008204067}",30,1,-2.2285812857835734,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 1}",1
81,False,"{'a': 0.5, 'e': 0.19467587308039985}",25,14,19.410818000476155,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.19078235561879187}",25,8,20.881410198193414,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.18696670850641603}",20,5,15.680385666729745,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.18322737433628772}",25,7,28.58561682368921,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.17956282684956196}",20,0,-36.984760444792464,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
86,False,"{'a': 0.5, 'e': 0.1759715703125707}",20,0,-65.64302099389367,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
87,False,"{'a': 0.5, 'e': 0.1724521389063193}",25,11,13.987914914856846,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
